Código;Cond. Pagto;Descricao
000;0;NEGOCIADA
00;7;07 PARCELAS
001;30;30 DIAS
1;28,42,56,70;28,42,56,70 DIA
01;5,10,15,20,25,30,35,40,45,50,55;11 PARCELAS
002;30,6;30,60 DIAS
02;20,40,60;20/40/60
3;21,42,63;21/42/ 63
003;30,60,90;30, 60, 90 DIAS
04;14,28,56,84,112;14/28/56/84/112
004;30,60,90,120;30,60,90,120
005;30,45;30/45 DIAS
006;28;28 DIAS
007;28,42;28/42 DIAS
008;28,56;28/56 DIAS
009;9;9 MESES
10;10;DUAS VEZES
010;28;28 DIAS - 2
011;30;30 DIAS - 2
11;30,15;PARCELAS
12;28,35;28/35 DIAS - 2
13;30,6;30/60 DIAS - 2
14;30,60,90;30/60/90 DIAS 2
15;30,60,75;30,60,75DIAS
16;15,30,45,60;15,30,45,60 DIA
18;28,56;28/56 DIAS 2
19;15,30,60;15/30/60
20;25,5;25/50DD 2
21;21,35;21/35DD 2
021;1,15,15,25;STOCKTON
22;15,30,45;15,30,45 DIAS
23;14,28;14/28DD
24;20,4;20/40DD 2
25;49,69;49/69DD 2
26;14,21;14/21 DDL
27;28,42;28/42DD 2
28;0,3;0/30DD 2
29;1,3;1/30 DD 2
30;30,6;30,6
030;145;145 PARCELAS
31;5,3;05/30 DDL 2
32;32;32 DIAS
032;03,33,63;03/33/63 DDL 2
33;7,3;7/30 DD 2
34;21,28,35;21/28/35 DDL 2
35;4,32;4/32 DDL 2
36;0,15;ATO+15
37;35,63;35/63DDL
38;10,15,20,25,30;05 PARCELAS
39;28,56,84;28/56/84DDL 2
40;35,42,49;35/42/49
41;1,60,6;BAYER
42;30,45,60;30/45/60
43;35;35 DIAS
044;28;28 DFQ
44;44;44 DIAS
045;15;15 DIAS
45;30,60,90,120,150;30 60 90 120 15
46;21;21 DIAS
47;8;8 DIAS
48;35,49;35/49 DD
49;45;45 DD
50;25;25 DIAS
51;1,30,5,20;MOCELLIN
52;28,35,42;28,35,42 DIAS
55;35,65;35 /35 DF
56;21;21 DF
57;33;33 DIAS
58;10;10 DIAS
59;11;11 DIAS AST
60;25,55,86,116,147,178;6 VEZES
61;5,10,15,20,25,30,35,40,45,50;10 PARCELAS
62;60;PARCELAS
63;30,60,90,120,150,180,210,240;08 PARCELAS
64;30,30,30,30,30,30,30,30,30,30,30,30;12 PARCELAS
65;30,60,90,120,150,180,210,240,270;9 PARCELAS
66;1,21,4;21 DIAS QUARTAS
67;1,15,3;15 DIAS TERCA
68;1,15,5;15 DIAS QUINTA
69;1,1,5;VENCTO DIA 05
70;1,15,4;15 DIAS QUARTA
71;71;71 DIAS
75;75;75 DIAS
98;21,52;51,52
99;42,00,16;42 PARCELAS
100;1,10,13,27;UBYFOL
101;20;20 DIAS
102;14;14 DIAS
103;28;28 DIAS
104;30;30 DIAS
105;1,15,3;INPEV
106;15;15 DIAS
107;21;21 DIAS
108;10;10 DIAS
109;9;9 DIAS
110;1,10,15,30;AGROIMPORT
111;1;A VISTA
112;90;90 DIAS
113;29;29 DIAS
114;1,16,15,30;BASF
115;1,15,5;CHS
116;1,14,5,10,15,20,25,30;AGRIPEC
117;1,15,25;INEOS
118;9;9 DDL
119;7;7 DDL
120;14;14 DIAS 2% ACRE
121;1,1,15;VENC DIA 15
122;1,1,30;VENC DIA 30
123;1,20,01,14;AMBEV 20 01 14
124;17;17 DIAS
125;18;18 DIAS
126;1,40,10,25;CHARRUA
130;1,33,2,16;BAYER
131;60;60 DIAS
132;30,60,90,120,150,180,210,240,270,300,330,360,390;13 PARCELAS
133;16;16 DIAS
134;1,14,2,0;14DDL SEGUNDA
135;1,28,3;FMC
136;1,30,4,0;30 DDL QUARTAS
137;1,17,5,15,25;PAGAMENTO DVA
138;1,15,4;15 DIAS QUARTAS
139;1,21,14,28;MAESTRA
140;30,60,90,120,180,210;06 PARCELAS
141;1,28,6,28;28 DDL SEXTAS
142;1,1,10;VENC DIA 10
143;36,30,30;36 VEZES DIA 27
144;30,30,15;30 PARCELAS
145;20,30,8;20 VEZES
146;27,30,30;27 PARCELAS
147;18,30,08;18 PARCELAS
148;120;120 DIAS
149;149;149 DIAS
150;10;10 PARCELAS
151;20;DIAS
152;90;DIAS APOS
153;20,30,08;20 PARCELAS
154;15,45,75;15,45,75
155;20,30,08;20 PARCELAS
156;20,30,08;20 PARCELAS OK
157;31,92,153,214,274;IPTU (DIAS)
160;30,60,90,120,150,180,210,240,270,300,330;11 PARCELAS
161;01,21,01,11,21;PGTO. OXITENO
165;48,00,20;48 PARCELAS
170;1,90,3,0;DOW DDL TERCA
171;8;8 DIAS
172;00,30,60,90,120,150,180;7 PARCELAS
174;17,48,79;17,48,79
179;179;179 DIAS
180;1,15,3,0;LAVORO
183;18,38;18, 38 DIAS
190;84,30,08;22 PARCELAS
191;1,30,01;VCTO 01/MES
192;1,30,11;VCTO 11/MES
193;1,30,25;30D VCTO 25/MES
200;15,30,15;15 VEZES
201;1,60,6,60;60 DIAS SEXTAS
205;135;135 DIAS
210;39,30,20;PARC. ICMS RJ
213;90;90 DIAS
214;21,42;21/42 DIAS
215;2;2 DIAS
216;24;24 DIAS
217;25;25 DIAS
218;1,45;A VISTA/45 DIAS
219;5;5 DIAS
220;12;12 DIAS
221;19;19 DIAS
222;60,00,30;60 PARCELAS
255;30,30,29;ICMS PARC PR
258;25,55,85;25,55,85 DIAS
270;17,29,30;EMPREST. QUATA
285;28,56;28/56
291;291;291 DIAS
300;1,15,15,30;CCAB
311;36,30,30;36 PARCELAS
333;72,93,114,135,156,177,198;DIAS
355;7,30,60,90,120;7,30,60,90,120
376;7,37,68;7,38,68
435;04,31,59;04,31,59
500;0;0
501;45;45
502;22,52,82;22,52,82
503;23,53,84;23,53,84
504;47,62;47/62 DIAS
505;26,57;26/57 DIAS
506;19,38;19/38 DIAS
507;16,40,61;16/40/61 DIAS
508;0,08;0,08
526;21,56;21,56
531;531;531D
540;0,12,30;COND JURIDICO
541;0,5,30;COND. JUR 5X
542;0,10,30;COND. JUR 10X
543;0,20,30;COND. JUR 20X
544;0,2,30;COND. JUR 2X
545;0,8,30;COND. JUR. GENE
546;1,10,4;10 DIAS QUARTAS
547;1,30,4;30 DIAS, QUARTA
548;1,15,6,0;15 DIAS,SEXTA
549;22;22 DIAS
550;65;65 DIAS
551;36;36 DIAS
552;24,48,36;24 PARCELAS
553;1,15,20;VENC DIA 20
554;1,35,4;35 DIAS, QUARTA
555;40;40 DIAS
556;18,49;18/49 DIAS
557;1,45,4;45 DIAS QUARTAS
558;1,90,4;90 DIAS QUARTAS
559;35,66,96;35/66/96 DIAS
560;1,21,11,21;OXITENO
561;23;23 DIAS
562;28,35,45;28,35,45 DIAS
563;28,56,84;28,56,84 DIAS
564;28,35,42;28/35/42 DIAS
565;0,30,60,90;ATO+30/60/90
566;28,35,50,56;28/35/50/56 DIA
567;28,45;28/45 DIAS
568;33,61,89;33/61/89 DIAS
569;1,30,26;VENC. DIA 26
570;21,39,56;21/39/56 DIAS
571;30,57,93;30/57/93 DIAS
