Item Conta;Operação
806;-
999;-
2102;ADMINISTRATIVO FINANCEIRO
2108;ADMINISTRATIVO RH
2241;ALPARGATAS MG
2266;ALPARGATAS PARAIBA
2281;AMARO
2265;AMAZON CGH3
2286;AMAZON CNF5
2227;AMAZON DBS5 - BRASILIA
2256;AMAZON DES2 ESPIRITO (VIANA)
2249;AMAZON DGO2 GOIAS HIDROLANDIA
2255;AMAZON DPB3 PARAIBA
2259;AMAZON DPE4 JABOATÃO
2229;AMAZON DPR2 - CURITIBA
2107;AMAZON DSA8 SALVADOR
2293;AMAZON DSFV
2262;AMAZON DSP3 EMBU
2228;AMAZON DSP5 - INDAIATUBA
2276;AMAZON ELP7
2277;AMAZON ELP8
2411;AMAZON REC1
2274;AMAZON REC3
2210;AMAZON TRANSPORTES
2246;AMAZON VF1 - LOUVEIRA P&G VENDOR FLEX
2264;AMAZON XBA1 - BA
2240;AMAZON XBRA
2242;AMAZON XBRB (CABO STO AGOSTINHO)
2216;AMAZON XBRZ
2245;AMAZON XCV9
2267;AMAZON XPB1 - PB CAMPINA GRANDE
2250;AMAZON XRJ2 NITEROI
2261;AMAZON XRJ3 - DUQUE DE CAXIAS
2268;AMAZON XRJ4 - PETRÓPOLIS
2271;ARMAZENA AI
2243;ASURION
2251;AVACY
2230;CAJAMAR MULTILIVROS
2239;CANCAO NOVA CAJAMAR
2206;CARREFOUR
2103;COMERCIAL
2285;DARKSIDE
2101;DIRETORIA
2232;DISTRIBUIDORA LUFT (AGREGA)
2279;DRS5 - CANOAS
2214;EDICOES SM
2288;EXTREMA II
2225;FTD
2269;INSIDER
2224;KLABIN
2211;LOG SMART
2284;LOGISTICA PROMOCIONAL
2213;MACMILLAN
2270;MULTICLIENTES
2275;MULTICLIENTES EXTREMA
2287;MULTILIVROS II / KRONOLOG
2290;NESTLE AFTER SALES - ARACARIGUAMA SP
2289;NESTLE DOLCE GUSTO - ARACARIGUAMA SP
2291;NESTLE DOLCE GUSTO - RJ
2278;NESTLE NESPRESSO - ARACARIGUAMA SP
2283;NESTLE NESPRESSO - RJ
2282;NESTLE PURA VIDA - MG
2208;OPERACOES
2104;OPERACOES
2273;PESSOAS E CULTURA (OVERHEAD)
2703;PHILIP MORRIS - PMB
2222;PLANETA DEAGOSTINI
2215;SELIA
2207;TIM BRASILIA
2212;TRANSPORTES
2258;WNUTRITION
2280;XCS1 - CAXIAS DO SUL
