Cód Produto;Descrição;CORRIGIDO
101000033;PANFLETO INFORMATIVO;0101000033
101000036;BANNER;0101000036
101000050;ADESIVO LOGO LUFT 5X2MT;0101000050
101000057;ADESIVO RODIZIO;0101000057
101000104;PLACA BANHEIRO MASCULINO;0101000104
101000105;PLACA BANHEIRO FEMININO;0101000105
101000110;PLACA COPA;0101000110
101000111;PLACA SALA ADM;0101000111
102000001;SULFITE A4 - BRANCO;0102000001
102000002;SULFITE A4  AMARELO;0102000002
102000003;ENVELOPE KRAFT A4 240X340;0102000003
102000004;ENVELOPE KRAFT 370X470MM;0102000004
102000011;ENVELOPE KRAFT 229X324 C/10;0102000011
102000014;ENVELOPE PLASTICO A4 12MM;0102000014
102000016;ETIQUETA ADESIVA POST-IT FLAGS;0102000016
102000019;PLASTIFICACAO A4 - 50 LAMINAS;0102000019
102000021;SULFITE A4 AZUL;0102000021
102000022;SULFITE A4  VERDE;0102000022
102000023;SULFITE A4 ROSA;0102000023
102000028;ETIQUETA PIMACO 6181 CX C/2000;0102000028
102000035;SULFITE A4 VERDE;0102000035
102000037;SULFITE A3 BRANCO;0102000037
102000039;PLASTICO P/ PLASTICACAO A4;0102000039
102000042;PAPEL VERGE A4 BRANCO;0102000042
102000044;EXPOSITOR ACRILICO A4 VERTICAL;0102000044
102000045;ENVELOPE KRAFT 310X410;0102000045
102000050;ESPIRAL PARA 20 FOLHAS;0102000050
102000051;ESPIRAL PARA 50 FOLHAS;0102000051
102000052;ESPIRAL PARA 100 FOLHAS;0102000052
102000056;ETIQUETA AZUL 16MM DE DIAMETRO;0102000056
102000057;ETIQUETA VERDE 16MM DE DIMETRO;0102000057
102000058;ETIQUETA PRETA 16MM D DIAMETRO;0102000058
102000059;ETIQUETA LARANJA 16MM;0102000059
102000060;ETIQUETA  AMARELA 16MM;0102000060
102000061;ETIQUETA VERMELHA 16MM;0102000061
102000062;TESOURA GRANDE;0102000062
102000065;ETIQUETA BRANCA 110X126X190M;0102000065
102000071;FITA DUPLA FACE FIXA FORTE;0102000071
102000077;POST IT AMARELO;0102000077
102000083;ETIQUETA PIMACO A4367 TAM A4;0102000083
102000085;TESOURA MEDIA 21CM;0102000085
102000086;PAPEL CARTAO BRANCO 50X70;0102000086
102000089;PAPEL CARTAO BRANCO A4;0102000089
102000118;EXPOSITOR DE CRISTAL A4 297X21;0102000118
102000119;FITA DUPLA FACE 19X20MM 20MT;0102000119
102000122;POST-IT AZUL 90FLS 76X102MM;0102000122
102000125;FITA CREPE 18X50MM;0102000125
102000132;PAPEL PARA PLASTIFICACAO A4;0102000132
102000147;PAPEL CARTOLINA COMUM;0102000147
102000149;POST-IT LARANJA 90FLS 76X102MM;0102000149
102000150;FITA DUPLA FACE 19X02;0102000150
